time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2020-02-15,38.25,-17.25,28.4,7.7000003,164.8,30.5,10.139999,63.8,0.0,4.0
2020-03-16,51.25,47.25,7.0,10.900001,10.400001,5.4,3.55,50.8,13.65,2.6000001
2020-02-15,-114.75,27.25,16.300001,12.900001,17.300001,13.1,1.1999999,41.4,0.0,2.9
2020-09-16,-61.25,0.75,28.0,9.6,122.700005,29.0,13.91,64.8,0.0,4.0
2020-06-16,73.25,53.75,18.0,12.6,23.4,10.7,9.92,52.9,0.0,4.8
2020-08-16,80.25,47.25,21.6,15.6,22.800001,11.8,5.35,40.3,0.0,5.1
2020-08-16,105.75,-3.25,29.0,8.7,49.4,28.9,9.83,63.9,0.0,4.2000003
2020-11-16,120.25,60.25,-15.0,7.5,22.9,1.8000001,17.109999,79.200005,30.0,0.0
2020-04-16,47.75,28.75,25.6,9.900001,7.3,13.1,3.01,50.0,0.0,6.6
2020-12-16,74.25,17.25,23.4,14.5,24.5,16.1,1.0699999,19.1,0.0,3.7
2020-05-16,-91.75,18.75,30.5,11.400001,162.7,30.7,6.47,64.6,0.0,5.0
2020-11-16,101.25,15.25,26.6,10.6,16.800001,25.4,2.45,42.5,0.0,3.5
2020-09-16,-49.25,-0.25,29.2,9.2,27.7,30.4,15.24,49.7,0.0,4.6
2020-07-16,23.25,66.75,15.1,9.8,64.1,12.6,15.349999,64.6,0.0,3.1000001
2020-07-16,127.75,35.25,21.7,6.7000003,521.10004,22.5,20.89,83.700005,0.0,2.8
2020-04-16,93.75,76.25,-11.6,8.7,12.7,0.8,15.28,72.8,30.0,1.1
2020-01-16,10.75,78.75,-12.2,7.2000003,32.7,1.7,12.7,53.8,31.0,0.4
2020-06-16,143.25,-7.75,26.4,8.400001,319.5,28.0,18.83,67.5,0.0,3.3
2020-07-16,25.75,-16.75,16.2,18.5,0.2,9.8,0.01,33.100002,2.04,3.0
2020-05-16,-64.25,-25.25,17.4,14.900001,3.7,14.8,4.04,40.8,0.0,2.3
2020-02-15,-90.25,64.75,-32.5,7.0,4.7000003,0.3,3.61,42.100002,29.0,0.1
2020-11-16,-35.25,83.25,-30.0,7.9,0.1,0.3,6.39,55.0,30.0,0.1
2020-07-16,50.75,31.25,28.9,15.7,1.3000001,8.8,0.08,43.600002,0.0,6.9
2020-04-16,-36.25,77.75,-30.5,10.400001,3.6000001,0.3,8.19,57.5,30.0,0.2
2020-12-16,138.75,-18.25,31.0,10.1,83.0,19.1,7.24,61.100002,0.0,6.4
2020-11-16,-48.25,71.75,-26.4,7.8,42.8,0.6,13.5,62.5,30.0,0.0
2020-03-16,132.25,-17.25,28.9,13.400001,109.3,19.2,8.5,52.4,0.0,5.4
2020-05-16,-124.75,73.25,-8.5,6.0,7.9,2.0,6.0299997,63.9,30.619999,1.1
2020-05-16,-63.25,-24.75,19.0,14.6,4.0,17.0,3.83,42.5,0.0,2.4
2020-09-16,-52.25,75.75,-16.800001,5.8,42.4,1.3000001,13.0199995,73.8,30.0,0.2
2020-12-16,-72.75,-49.25,10.0,10.5,89.700005,6.5,4.61,64.1,5.85,4.2000003
2020-02-15,31.25,64.75,-6.4,7.7000003,61.600002,3.8,16.88,78.3,28.22,0.0
2020-03-16,-69.75,9.25,27.300001,10.6,42.0,24.2,4.2799997,61.9,0.0,4.5
2020-10-16,-113.75,36.75,16.7,20.6,1.8000001,7.7000003,0.53,32.100002,2.8999999,4.5
2020-02-15,35.75,66.75,-4.8,6.6,41.5,4.2000003,16.19,81.200005,27.05,0.0
2020-12-16,70.25,25.25,17.9,20.4,0.2,9.2,0.06,17.300001,1.2099999,2.8
2020-03-16,29.75,67.75,-6.7000003,9.900001,41.100002,3.2,13.799999,69.4,30.679998,0.4
2020-09-16,161.25,58.25,5.4,8.1,46.7,7.2000003,14.54,74.9,13.73,1.2
2020-12-16,-0.25,29.75,12.6,13.8,1.1,7.6,0.48,23.300001,4.0899997,2.0
2020-11-16,110.25,76.25,-23.7,6.1,16.9,0.7,19.72,67.5,30.0,0.1
2020-08-16,8.25,14.75,28.9,9.5,191.40001,27.4,13.639999,42.7,0.0,5.3
2020-02-15,129.75,-22.25,31.5,13.3,44.100002,16.5,7.35,50.3,0.0,7.0
2020-05-16,110.25,58.75,7.4,14.0,47.7,5.7000003,13.299999,82.8,16.859999,2.6000001
2020-12-16,-57.25,-20.75,27.7,10.5,152.40001,26.800001,12.05,63.7,0.0,4.7000003
2020-04-16,-7.25,31.75,17.0,13.5,36.0,10.7,5.71,50.9,0.0,4.3
2020-09-16,119.75,46.75,9.400001,12.3,82.700005,8.400001,15.0,45.600002,8.98,2.3
2020-04-16,-67.25,18.25,25.1,7.3,170.90001,24.7,15.07,55.100002,0.0,4.3
2020-08-16,32.75,-18.75,17.1,13.2,2.7,13.2,1.55,45.0,0.0,2.9
2020-12-16,175.75,64.25,-17.5,6.2000003,18.7,1.4,8.57,56.600002,31.0,0.0
2020-04-16,24.75,-21.25,23.0,14.3,27.2,19.300001,3.51,47.0,0.0,3.3
2020-09-16,-109.75,78.25,-7.1,4.7000003,7.9,2.7,8.83,80.0,28.81,0.5
2020-05-16,70.25,34.75,22.0,15.0,61.0,12.400001,10.42,41.8,0.0,5.2000003
2020-05-16,167.25,69.75,-1.4,8.7,2.6000001,4.3,1.8199999,65.8,27.05,1.4
2020-05-16,6.25,32.25,28.1,13.6,2.4,19.2,0.52,35.5,0.0,6.2000003
2020-06-16,39.25,48.75,21.9,11.1,57.9,15.8,10.16,35.5,0.0,5.3
2020-01-16,99.75,25.75,8.0,13.5,12.8,6.2000003,3.6899998,27.300001,14.45,2.0
2020-03-16,46.25,63.25,-2.4,8.2,31.6,4.2000003,17.82,76.8,27.67,0.6
2020-12-16,91.25,50.25,-22.300001,10.3,7.3,1.0,4.24,47.0,31.0,0.0
2020-01-16,-79.75,82.75,-39.100002,6.2000003,1.3000001,0.1,3.98,41.3,31.0,0.0
2020-09-16,52.75,36.25,24.7,10.8,6.0,15.2,0.5,35.9,0.0,4.1
2020-04-16,52.25,32.75,15.8,12.3,49.3,6.9,11.219999,56.100002,0.02,4.3
2020-05-16,-60.25,-37.25,10.900001,12.5,27.4,9.7,6.0499997,39.8,6.06,1.5
2020-09-16,-122.25,46.75,15.5,12.7,101.0,12.2,7.72,59.5,0.14,2.7
2020-11-16,120.25,-25.25,27.300001,16.300001,12.1,9.400001,4.3199997,25.1,0.0,8.6
2020-09-16,-41.75,-13.75,24.1,13.400001,6.0,16.300001,13.73,54.0,0.0,4.7000003
2020-04-16,55.75,51.25,7.3,19.6,31.7,5.6,10.4,45.9,22.8,3.4
2020-02-15,-64.75,77.75,-32.600002,6.8,28.5,0.3,6.5899997,42.5,29.0,0.0
2020-01-16,27.25,58.25,0.6,3.8,29.1,5.7000003,12.929999,87.6,21.27,0.2
2020-05-16,120.25,-4.75,26.5,8.900001,458.4,28.4,10.95,60.0,0.0,3.3
2020-06-16,-91.75,39.25,24.1,12.400001,84.700005,19.7,8.4,60.4,0.0,5.2000003
2020-09-16,-37.75,80.25,-23.2,7.6,0.8,0.8,11.7,70.0,30.0,0.1
2020-02-15,6.25,19.75,21.4,16.0,0.0,5.4,0.0,18.6,0.0,5.2000003
2020-03-16,132.25,57.25,-15.5,15.8,9.5,1.3000001,8.97,48.0,31.0,0.5
2020-04-16,42.75,48.75,8.400001,10.8,21.7,5.1,7.3599997,54.100002,9.7,3.3
2020-12-16,-41.75,74.25,-37.600002,9.7,11.5,0.4,11.7,55.0,31.0,0.0
2020-06-16,18.75,16.25,35.100002,15.2,4.2000003,16.7,7.68,23.800001,0.0,7.8
2020-09-16,158.75,52.75,9.3,5.5,92.0,9.7,13.75,67.1,2.51,1.5
2020-03-16,-80.25,0.25,26.6,7.0,244.1,29.4,15.63,75.6,0.0,3.4
2020-09-16,-85.75,35.25,20.7,10.8,129.7,18.300001,9.24,68.5,0.0,3.0
2020-03-16,143.25,67.25,-28.1,16.2,5.0,0.7,9.309999,42.3,31.0,0.1
2020-05-16,-116.25,61.25,5.3,11.5,20.1,6.0,6.8999996,61.3,19.24,2.4
2020-06-16,141.75,-13.25,25.4,10.2,2.4,21.4,5.5499997,45.8,0.0,3.8
2020-10-16,-2.75,25.25,30.1,15.0,1.9,14.7,0.0,27.4,0.0,5.0
2020-03-16,125.25,5.75,27.5,11.5,121.3,27.0,9.3,66.3,0.0,4.0
2020-06-16,-7.75,51.75,14.1,7.5,106.0,12.900001,19.07,79.3,0.0,2.7
2020-08-16,119.25,-9.25,24.4,13.3,17.7,21.800001,0.11,7.8,0.0,5.1
2020-04-16,-25.25,72.25,-13.5,8.6,9.5,1.5,5.49,57.600002,30.0,0.6
2020-04-16,17.75,-20.75,21.2,15.2,37.5,13.3,4.49,38.0,0.0,3.5
2020-04-16,39.75,6.25,22.6,12.400001,181.6,17.5,11.389999,52.5,0.0,4.0
2020-03-16,130.25,-19.25,29.4,14.8,63.2,15.2,7.5699997,45.600002,0.0,6.0
2020-09-16,-127.25,67.75,3.7,7.2000003,21.1,6.0,9.679999,73.0,17.09,1.1
