time,lon,lat,tmp,dtr,pre,vap,wet,cld,frs,pet
2012-06-16,24.25,-14.25,17.800001,19.4,0.7,11.5,0.01,40.0,0.79999995,2.7
2018-08-16,91.25,56.75,16.5,15.2,58.3,12.8,12.4,52.5,0.28,3.0
2016-10-16,-6.75,28.25,26.4,13.6,11.2,15.400001,0.71999997,38.5,0.0,4.4
2017-09-16,119.25,-29.25,16.7,14.400001,10.6,7.7000003,5.79,31.9,0.06,4.6
2012-05-16,106.25,28.75,20.4,6.5,211.8,18.4,20.9,83.4,0.0,2.9
2020-10-16,120.75,-31.25,19.1,16.1,4.7000003,8.6,11.059999,34.4,0.0,6.0
2018-09-16,129.25,57.25,4.6,11.3,91.5,5.9,16.39,73.1,20.1,1.3000001
2013-11-16,2.75,21.75,24.2,15.400001,0.3,7.4,0.0,35.9,0.0,4.5
2015-04-16,-76.25,37.75,13.7,12.1,87.200005,9.1,13.11,59.7,1.17,3.8
2015-05-16,122.25,45.25,15.7,12.2,50.4,8.6,9.67,67.9,0.04,4.6
2011-06-16,72.75,48.75,19.7,11.8,58.9,12.2,11.09,48.4,0.0,5.3
2017-08-16,21.75,49.75,20.2,13.0,81.3,16.2,9.32,38.3,0.0,4.0
2018-02-15,165.25,66.25,-22.6,8.7,16.6,1.3000001,15.339999,62.5,28.0,0.0
2012-08-16,-78.25,39.25,23.7,13.2,75.6,19.5,12.07,63.7,0.0,4.2000003
2015-10-16,152.75,-31.25,19.5,12.900001,57.3,13.400001,10.28,41.4,0.0,4.8
2013-09-16,117.75,-32.75,13.2,10.8,66.9,9.8,18.35,54.7,1.0699999,2.9
2012-10-16,19.75,-34.75,15.900001,6.9,45.3,13.900001,13.2,55.8,0.0,3.2
2016-06-16,144.75,72.75,4.2000003,11.400001,12.5,4.6,8.03,73.9,21.07,2.8
2013-05-16,-110.25,46.25,10.0,14.6,106.4,6.7000003,14.78,67.8,10.78,3.7
2020-06-16,-84.75,53.25,11.1,11.3,75.5,10.6,10.76,64.0,4.31,2.8
2011-06-16,98.75,-1.25,26.800001,7.3,231.6,27.1,12.99,61.3,0.0,3.6000001
2013-11-16,60.75,44.75,5.0,12.5,7.5,5.7000003,4.46,50.8,20.59,1.3000001
2011-12-16,-6.75,39.25,9.400001,9.400001,11.3,8.900001,5.89,39.9,6.06,1.2
2020-08-16,8.25,19.25,30.5,11.8,37.600002,22.6,6.7999997,30.5,0.0,6.4
2020-11-16,84.25,27.75,19.4,14.2,9.900001,16.7,0.42,38.8,0.0,2.0
2012-01-16,142.25,65.25,-44.8,6.7000003,5.8,0.3,8.32,58.4,31.0,0.0
2017-03-16,24.25,-18.75,25.4,11.0,81.200005,25.4,7.41,62.8,0.0,3.6000001
2020-08-16,-92.25,36.75,23.800001,12.6,134.7,21.1,8.55,51.5,0.0,4.5
2016-07-16,33.25,18.75,34.8,14.6,10.0,12.900001,1.04,38.8,0.0,8.1
