hour,time,lat,lon,height,pre,PRS_Avg,VAP_Avg,tmp
12,2020/8/18,57.205,-2.204,65,87,1004.0,13.2,14.1
12,2020/8/18,56.5,-6.88,9,78,1009.2,14.1,14.3
12,2020/8/18,55.312,-3.205,236,219,983.8,14.0,14.1
12,2020/8/18,56.377,-2.8609999999999998,10,106,1010.4,14.0,14.6
12,2020/8/18,54.297,-1.5310000000000001,33,100,1007.8,14.7,16.3
12,2020/8/18,53.252,-4.535,10,119,1009.9,15.9,16.6
12,2020/8/18,53.175,-0.523,68,65,1003.6,15.0,18.0
12,2020/8/18,52.794,-2.6630000000000003,72,138,1003.2,15.5,17.3
12,2020/8/18,52.139,-4.57,133,163,996.0,16.1,16.1
12,2020/8/18,52.123,0.9590000000000001,89,70,1001.3,16.0,19.4
12,2020/8/18,51.503,-1.992,145,81,995.4,15.8,17.9
12,2020/8/18,51.479,-0.449,25,58,1009.4,15.4,20.6
12,2020/8/18,51.346,1.337,49,33,1006.6,16.7,20.2
12,2020/8/18,50.218,-5.327,87,118,1002.8,16.3,16.7
12,2020/8/18,50.779,-1.835,10,103,1011.5,16.5,18.7
12,2020/8/18,54.663,-6.224,63,129,1003.2,14.6,15.6
12,2020/9/16,60.139,-1.183,82,120,1000.4,11.5,10.7
12,2020/9/16,58.954,-2.9,26,77,1008.0,11.6,11.8
12,2020/9/16,58.214,-6.318,15,135,1009.5,12.3,12.2
12,2020/9/16,57.646,-3.5620000000000003,5,54,1011.7,11.4,13.1
12,2020/9/16,57.205,-2.204,65,33,1005.2,10.7,12.3
12,2020/9/16,56.5,-6.88,9,147,1011.8,12.6,12.7
12,2020/9/16,55.312,-3.205,236,107,987.3,11.3,10.6
12,2020/9/16,56.377,-2.8609999999999998,10,32,1012.8,11.7,12.3
12,2020/9/16,54.297,-1.5310000000000001,33,47,1012.0,12.1,13.1
12,2020/9/16,53.252,-4.535,10,61,1015.1,13.4,14.3
12,2020/9/16,53.175,-0.523,68,28,1008.0,12.5,14.8
12,2020/9/16,52.794,-2.6630000000000003,72,41,1008.1,12.6,13.7
12,2020/9/16,52.139,-4.57,133,69,1001.1,13.3,14.2
12,2020/9/16,52.123,0.9590000000000001,89,53,1005.5,13.0,14.9
12,2020/9/16,51.503,-1.992,145,38,1000.0,12.8,14.6
12,2020/9/16,51.479,-0.449,25,20,1013.9,12.9,16.6
12,2020/9/16,51.346,1.337,49,40,1010.6,14.0,16.3
12,2020/9/16,50.218,-5.327,87,53,1007.6,13.7,14.9
12,2020/9/16,50.779,-1.835,10,36,1016.0,13.2,14.9
12,2020/9/16,54.663,-6.224,63,65,1007.8,12.7,13.3
12,2020/10/15,60.139,-1.183,82,136,994.5,9.8,8.5
12,2020/10/15,58.954,-2.9,26,167,1000.2,10.4,9.2
12,2020/10/15,58.214,-6.318,15,211,1001.2,10.2,9.2
12,2020/10/15,57.646,-3.5620000000000003,5,165,1002.8,10.1,9.2
12,2020/10/15,57.205,-2.204,65,186,995.8,9.9,9.2
12,2020/10/15,56.5,-6.88,9,267,1001.8,10.5,10.1
12,2020/10/15,55.312,-3.205,236,217,976.7,9.8,8.2
12,2020/10/15,56.377,-2.8609999999999998,10,160,1002.7,10.3,9.7
12,2020/10/15,54.297,-1.5310000000000001,33,97,1001.5,10.5,10.0
12,2020/10/15,53.252,-4.535,10,116,1005.0,10.9,11.4
12,2020/10/15,53.175,-0.523,68,81,998.2,10.9,10.6
12,2020/10/15,52.794,-2.6630000000000003,72,93,998.0,10.7,10.3
12,2020/10/15,52.139,-4.57,133,134,991.2,11.0,10.7
12,2020/10/15,52.123,0.9590000000000001,89,101,996.7,11.5,10.9
12,2020/10/15,51.503,-1.992,145,148,990.6,11.2,10.6
12,2020/10/15,51.479,-0.449,25,142,1005.0,11.5,12.0
12,2020/10/15,51.346,1.337,49,137,1002.5,11.9,12.0
12,2020/10/15,50.218,-5.327,87,135,998.8,11.4,11.6
12,2020/10/15,50.779,-1.835,10,171,1007.3,11.8,11.4
12,2020/10/15,54.663,-6.224,63,108,997.4,10.3,9.8
12,2020/11/19,60.139,-1.183,82,169,996.7,9.5,7.7
12,2020/11/19,58.954,-2.9,26,98,1004.3,9.7,8.3
12,2020/11/19,58.214,-6.318,15,149,1005.8,9.7,8.2
12,2020/11/19,57.646,-3.5620000000000003,5,28,1008.7,8.8,7.8
12,2020/11/19,57.205,-2.204,65,25,1002.5,8.7,7.3
12,2020/11/19,56.5,-6.88,9,112,1006.6,10.2,9.2
12,2020/11/19,55.312,-3.205,236,187,983.0,8.9,6.4
